Name,Freq
說畢,19
眾人都,15
且聽下,9
回分解,9
少不得,9
一時,9
賈母等,9
於是賈,8
偺們家,7
如今我,7
東西,7
沒有,7
那寶玉,7
寶玉只,7
小耗子,7
好妹妹,6
鳳姐又,6
好不好,6
只見一,6
少時,6
有鳳來,6
花自芳,6
寶玉方,5
好容易,5
銀子,5
怎麼樣,5
上來,5
話兒,5
又不知,5
意思,5
還有什,5
去罷,5
於是鳳,5
見寶玉,5
麼樣,5
麼事,5
噯喲,5
兩銀子,5
鳳姐等,5
做什麼,5
那秦鐘,5
寶玉又,5
你老人,5
偺們兩,5
著寶玉,4
嬸子,4
必來,4
那先生,4
不來,4
夫人,4
我父親,4
時候,4
兒兩個,4
我這會,4
園子裡,4
著鳳姐,4
嬸娘,4
這裡鳳,4
你是個,4
尤氏,4
且說賈,4
半日,4
衣裳,4
原來賈,4
他兩個,4
只見鳳,4
想他素,4
原來是,4
命寶玉,4
原來這,4
賈赦等,4
小廝們,4
那丫頭,4
孩子,4
智能兒,4
阿彌陀,4
滿屋裡,4
小丫頭,4
你怎麼,4
大觀園,4
賈政與,4
又一個,4
莫若,4
賈政又,4
作什麼,4
蘅芷清,4
紅香綠,4
個太監,4
我自然,4
丫鬟們,4
老耗子,4
家中,3
這麼個,3
兒來,3
東府裡,3
姑奶奶,3
那裡還,3
我叫他,3
模樣兒,3
這些事,3
幾句話,3
如今且,3
你那裡,3
大夫,3
我方纔,3
這就是,3
坐下,3
如何,3
方兒,3
可不是,3
二錢,3
這個地,3
喜歡,3
有什麼,3
到底是,3
有兩個,3
好些,3
你們娘,3
叫他們,3
來瞧瞧,3
吃飯,3
會芳園,3
這些話,3
心中十,3
門來,3
見他這,3
說什麼,3
請奶奶,3
我怎麼,3
府裡,3
件東西,3
是怎麼,3
暫且無,3
鳳姐命,3
解悶兒,3
人來人,3
怎麼好,3
子來,3
只見賈,3
這屋裡,3
再走,3
那道士,3
看時,3
要緊,3
外又有,3
見秦氏,3
進來,3
下來,3
秦鐘,3
幾兩銀,3
合族中,3
纔是,3
大妹妹,3
從小兒,3
那鳳姐,3
你今兒,3
國府中,3
來旺媳,3
日一早,3
陞媳婦,3
回家,3
至次日,3
點兒,3
這二十,3
人單管,3
便問,3
擱不住,3
寶玉不,3
陳設,3
真是,3
襲二等,3
走不多,3
寶玉一,3
不知何,3
忙上來,3
鐵檻寺,3
請鳳姐,3
越發出,3
給我,3
太太不,3
這個不,3
我一個,3
你瞧瞧,3
炕上,3
是寶玉,3
卻不知,3
豈有不,3
過賈母,3
賈政等,3
那時賈,3
那一個,3
他們就,3
太太跟,3
你明兒,3
為什麼,3
媽媽,3
這麼大,3
如今還,3
外人,3
賈政不,3
寶玉來,3
你們不,3
眾清客,3
那一邊,3
方妙,3
是極,3
賈政拈,3
怎麼不,3
畜生,3
賈政搖,3
簾一百,3
杏花村,3
天然,3
蓼汀花,3
有趣,3
怡紅快,3
元妃看,3
一句,3
還不快,3
姐姐,3
知寶玉,3
那是我,3
襲人冷,3
我替你,3
暖香,3
誰去偷,3
眾耗子,3
規矩,3
大正月,3
愛哥哥,3
