Id,Label,degree,strength,betweenness,closeness,eigenvector
黛玉,黛玉,21,158,1.0,1.0,0.707103244845775
寶玉,寶玉,1,74,0.0,0.5121951219512195,0.663580377229525
林如海,林如海,1,4,0.0,0.5121951219512195,0.03586920957997432
賈母,賈母,1,12,0.0,0.5121951219512195,0.10760762873992295
賈璉,賈璉,1,6,0.0,0.5121951219512195,0.05380381436996148
鳳姐,鳳姐,1,10,0.0,0.5121951219512195,0.0896730239499358
平兒,平兒,1,1,0.0,0.5121951219512195,0.00896730239499358
秦氏,秦氏,1,1,0.0,0.5121951219512195,0.00896730239499358
襲人,襲人,1,5,0.0,0.5121951219512195,0.0448365119749679
王夫人,王夫人,1,3,0.0,0.5121951219512195,0.02690190718498074
賈政,賈政,1,3,0.0,0.5121951219512195,0.02690190718498074
寶釵,寶釵,1,18,0.0,0.5121951219512195,0.16141144310988442
迎春,迎春,1,5,0.0,0.5121951219512195,0.0448365119749679
北靜王,北靜王,1,3,0.0,0.5121951219512195,0.02690190718498074
賈赦,賈赦,1,1,0.0,0.5121951219512195,0.00896730239499358
尤氏,尤氏,1,1,0.0,0.5121951219512195,0.00896730239499358
邢夫人,邢夫人,1,1,0.0,0.5121951219512195,0.00896730239499358
李紈,李紈,1,1,0.0,0.5121951219512195,0.00896730239499358
李嬤嬤,李嬤嬤,1,1,0.0,0.5121951219512195,0.00896730239499358
史湘雲,史湘雲,1,6,0.0,0.5121951219512195,0.05380381436996148
惜春,惜春,1,1,0.0,0.5121951219512195,0.00896730239499358
探春,探春,1,1,0.0,0.5121951219512195,0.00896730239499358
